index_dec,index_hex,group,char,source
0,0000,confirmed,?,fallback
1,0001,symbol,,none
2,0002,symbol,,none
3,0003,symbol,,none
4,0004,symbol,,none
5,0005,confirmed,？,token_map
6,0006,confirmed,！,token_map
7,0007,confirmed,0,token_map
8,0008,confirmed,1,token_map
9,0009,confirmed,2,token_map
10,000A,confirmed,3,token_map
11,000B,confirmed,4,token_map
12,000C,confirmed,5,token_map
13,000D,confirmed,6,token_map
14,000E,confirmed,7,token_map
15,000F,confirmed,8,token_map
16,0010,confirmed,9,token_map
17,0011,confirmed,A,token_map
18,0012,confirmed,B,token_map
19,0013,confirmed,C,token_map
20,0014,confirmed,D,token_map
21,0015,confirmed,E,token_map
22,0016,confirmed,F,token_map
23,0017,confirmed,G,token_map
24,0018,confirmed,H,token_map
25,0019,confirmed,I,token_map
26,001A,confirmed,J,token_map
27,001B,confirmed,K,token_map
28,001C,confirmed,L,token_map
29,001D,confirmed,M,token_map
30,001E,confirmed,N,token_map
31,001F,confirmed,O,token_map
32,0020,confirmed,P,token_map
33,0021,confirmed,Q,token_map
34,0022,confirmed,R,token_map
35,0023,confirmed,S,token_map
36,0024,confirmed,T,token_map
37,0025,confirmed,U,token_map
38,0026,confirmed,V,token_map
39,0027,confirmed,W,token_map
40,0028,confirmed,X,token_map
41,0029,confirmed,Y,token_map
42,002A,confirmed,Z,token_map
43,002B,confirmed,a,token_map
44,002C,confirmed,m,token_map
45,002D,confirmed,p,token_map
46,002E,confirmed,ぁ,token_map
47,002F,confirmed,あ,token_map
48,0030,confirmed,ぃ,token_map
49,0031,confirmed,い,token_map
50,0032,confirmed,ぅ,token_map
51,0033,confirmed,う,token_map
52,0034,confirmed,ぇ,token_map
53,0035,confirmed,え,token_map
54,0036,confirmed,ぉ,token_map
55,0037,confirmed,お,token_map
56,0038,confirmed,か,token_map
57,0039,confirmed,が,token_map
58,003A,confirmed,き,token_map
59,003B,confirmed,ぎ,token_map
60,003C,confirmed,く,token_map
61,003D,confirmed,ぐ,token_map
62,003E,confirmed,け,token_map
63,003F,confirmed,げ,token_map
64,0040,confirmed,こ,token_map
65,0041,confirmed,ご,token_map
66,0042,confirmed,さ,token_map
67,0043,confirmed,ざ,token_map
68,0044,confirmed,し,token_map
69,0045,confirmed,じ,token_map
70,0046,confirmed,す,token_map
71,0047,confirmed,ず,token_map
72,0048,confirmed,せ,token_map
73,0049,confirmed,ぜ,token_map
74,004A,confirmed,そ,token_map
75,004B,confirmed,ぞ,token_map
76,004C,confirmed,た,token_map
77,004D,confirmed,だ,token_map
78,004E,confirmed,ち,token_map
79,004F,confirmed,ぢ,token_map
80,0050,confirmed,っ,token_map
81,0051,confirmed,つ,token_map
82,0052,confirmed,づ,token_map
83,0053,confirmed,て,token_map
84,0054,confirmed,で,token_map
85,0055,confirmed,と,token_map
86,0056,confirmed,ど,token_map
87,0057,confirmed,な,token_map
88,0058,confirmed,に,token_map
89,0059,confirmed,ぬ,token_map
90,005A,confirmed,ね,token_map
91,005B,confirmed,の,token_map
92,005C,confirmed,は,token_map
93,005D,confirmed,ば,token_map
94,005E,confirmed,ぱ,token_map
95,005F,confirmed,ひ,token_map
96,0060,confirmed,び,token_map
97,0061,confirmed,ぴ,token_map
98,0062,confirmed,ふ,token_map
99,0063,confirmed,ぶ,token_map
100,0064,confirmed,ぷ,token_map
101,0065,confirmed,へ,token_map
102,0066,confirmed,べ,token_map
103,0067,confirmed,ぺ,token_map
104,0068,confirmed,ほ,token_map
105,0069,confirmed,ぼ,token_map
106,006A,confirmed,ぽ,token_map
107,006B,confirmed,ま,token_map
108,006C,confirmed,み,token_map
109,006D,confirmed,む,token_map
110,006E,confirmed,め,token_map
111,006F,confirmed,も,token_map
112,0070,confirmed,ゃ,token_map
113,0071,confirmed,や,token_map
114,0072,confirmed,ゅ,token_map
115,0073,confirmed,ゆ,token_map
116,0074,confirmed,ょ,token_map
117,0075,confirmed,よ,token_map
118,0076,confirmed,ら,token_map
119,0077,confirmed,り,token_map
120,0078,confirmed,る,token_map
121,0079,confirmed,れ,token_map
122,007A,confirmed,ろ,token_map
123,007B,confirmed,わ,token_map
124,007C,confirmed,k,token_map
125,007D,confirmed,ん,token_map
126,007E,confirmed,ァ,token_map
127,007F,confirmed,ア,token_map
128,0080,confirmed,ィ,token_map
129,0081,confirmed,イ,token_map
130,0082,confirmed,ゥ,token_map
131,0083,confirmed,ウ,token_map
132,0084,confirmed,ェ,token_map
133,0085,confirmed,エ,token_map
134,0086,confirmed,ォ,token_map
135,0087,confirmed,オ,token_map
136,0088,confirmed,カ,token_map
137,0089,confirmed,ガ,token_map
138,008A,confirmed,キ,token_map
139,008B,confirmed,ギ,token_map
140,008C,confirmed,ク,token_map
141,008D,confirmed,グ,token_map
142,008E,confirmed,ケ,token_map
143,008F,confirmed,ゲ,token_map
144,0090,confirmed,コ,token_map
145,0091,confirmed,ゴ,token_map
146,0092,confirmed,サ,token_map
147,0093,confirmed,ザ,token_map
148,0094,confirmed,シ,token_map
149,0095,confirmed,ジ,token_map
150,0096,confirmed,ス,token_map
151,0097,confirmed,ズ,token_map
152,0098,confirmed,セ,token_map
153,0099,confirmed,ゼ,token_map
154,009A,confirmed,ソ,token_map
155,009B,confirmed,ゾ,token_map
156,009C,confirmed,タ,token_map
157,009D,confirmed,ダ,token_map
158,009E,confirmed,チ,token_map
159,009F,confirmed,ヂ,token_map
160,00A0,confirmed,ッ,token_map
161,00A1,confirmed,ツ,token_map
162,00A2,confirmed,ヅ,token_map
163,00A3,confirmed,テ,token_map
164,00A4,confirmed,デ,token_map
165,00A5,confirmed,ト,token_map
166,00A6,confirmed,ド,token_map
167,00A7,confirmed,ナ,token_map
168,00A8,confirmed,ニ,token_map
169,00A9,confirmed,ヌ,token_map
170,00AA,confirmed,ネ,token_map
171,00AB,confirmed,ノ,token_map
172,00AC,confirmed,ハ,token_map
173,00AD,confirmed,バ,token_map
174,00AE,confirmed,パ,token_map
175,00AF,confirmed,ヒ,token_map
176,00B0,confirmed,ビ,token_map
177,00B1,confirmed,ピ,token_map
178,00B2,confirmed,フ,token_map
179,00B3,confirmed,ブ,token_map
180,00B4,confirmed,プ,token_map
181,00B5,confirmed,ヘ,token_map
182,00B6,confirmed,ベ,token_map
183,00B7,confirmed,ペ,token_map
184,00B8,confirmed,ホ,token_map
185,00B9,confirmed,ボ,token_map
186,00BA,confirmed,ポ,token_map
187,00BB,confirmed,マ,token_map
188,00BC,confirmed,ミ,token_map
189,00BD,confirmed,ム,token_map
190,00BE,confirmed,メ,token_map
191,00BF,confirmed,モ,token_map
192,00C0,confirmed,ャ,token_map
193,00C1,confirmed,ヤ,token_map
194,00C2,confirmed,ュ,token_map
195,00C3,confirmed,ユ,token_map
196,00C4,confirmed,ョ,token_map
197,00C5,confirmed,ヨ,token_map
198,00C6,confirmed,ラ,token_map
199,00C7,confirmed,リ,token_map
200,00C8,confirmed,ル,token_map
201,00C9,confirmed,レ,token_map
202,00CA,confirmed,ロ,token_map
203,00CB,confirmed,ワ,token_map
