index_dec,char,replaced_char
1122,!,旧
1188,"""",検
1192,%,芳
1207,',搭
1211,(,誕
1230,),歪
1239,",",控
1240,.,鑑
1258,/,伴
1274,;,銅
1280,?,羊
1281,a,牛
1282,b,蟹
1284,c,秤
1292,d,聡
1295,e,虎
1296,f,鷹
1362,g,僻
1374,h,喋
1390,i,猾
1442,j,尋
1454,k,梨
1463,l,碑
1477,m,蝶
1506,n,蓮
1556,o,堂
1561,p,褒
1574,q,曇
1583,r,澄
1591,s,喪
1592,t,曖
1595,u,劫
1603,v,科
1610,w,傲
1613,x,迅
1618,y,貿
1619,z,顧
1621,ö,貝
1636,ü,裸
1640,…,毛
1645,♀,灌
1648,♂,渉
1650,！？,奉
1654,？！,嬢
1660, -,鐘
1663,er,筑
1668,s ,雹
1670,e ,踊
1672,an,戴
1678,t ,汗
1686, a,誌
1690, t,畜
1694,on,乞
1695,ar,肢
1704,it,峠
1708,th,訣
1711,d ,齢
1714,in,暖
1718,st,謹
1720, s,挨
1726,he,校
1730,n ,蹴
1734,ea,叙
1742,or,旗
1743, c,翻
1745,nd,机
1746,r ,呆
1750,", ",扮
1755,ng,洪
1756,es,孫
1759, i,腰
1761,re,察
1763,ma,巡
1764,. ,慎
1765,al,塩
1768, m,欺
1770,te,州
1771,at,璧
1773,y ,壮
1774, w,宇
1777, b,逐
1778,le,随
1779,en,掴
1780,ra,菜
1781,ll,穏
1784,ro,則
1785,il,劇
1786, o,馴
1787,ow,惰
1789,o ,瞳
1790,ge,遇
1797,ag,是
1798,ed,濁
1801,to,簒
1803,de,惨
1807,ts,依
1808,ta,洒
1809, f,輩
1810,as,捉
1812,ri,泳
1813, h,詩
1815,is,益
1816,ne,鬼
1817, p,戮
1819,se,膳
1820,el,唯
1097,ic,忍
1150,rd,肖
1174,A ,摘
1180,ve,諾
1208,g ,載
1216,ha,峙
1234,we,瀕
1273,k ,液
1352,mo,泣
1356,ca,丁
1366, l,孤
1376,nt,錠
1469,a ,焦
1481,me,衰
1503,l ,遜
1517,ig,勉
1525,ac,貰
1528,ai,騙
1534,ce,祈
1538,gh,憩
1550,h ,盛
1568,tr,隔
1573,co,詫
1576,li,弁
1580,ti,趣
1588, g,芽
1601,ir,励
1611,om,添
1614,ol,績
1633, d,節
1638,pe,拳
1658,ki,採
1664,ak,奏
1666,ie,飽
1674,tt,丘
1676,po,温
1688, r,酒
1700,gi,論
1715,un,絵
1722,ly,拾
1728,wi,賛
1735,ck,翌
1738,oo,蜂
1741,ns,釈
1748,la,削
1754,hi,堤
1791,s.,莱
1796,ry,頻
1806,ho,飯
1110, 1,偶
1120,ni,挙
1123, v,舞
1124,lo,老
1195,Ma,請
1251,rc,免
1326, e,致
1330,sp,眺
1347,ot,柵
1360,rm,評
1364,em,寂
1433,so,律
1457,ut,染
1497,et,崇
1509,mm,償
1529,ss,誉
1549,e.,丸
1598,us,紛
1643,ou,掃
1679,rs,汁
1705, A,迫
1706,av,忙
1716,ad,糸
1723,os,膨
1736,ht,昼
1753,di,縛
1757,It,胞
1766,c ,枯
1767,f ,渇
1775,ch,綺
1099,ff,盗
1138,fo,壇
1203,of,征
1231,go,占
1246,t.,疎
1247,no,戒
1275,si,磨
1298,: ,醒
1307,id,紹
1308, u,介
1349,be,微
1358,vs,樽
1365,ld,妙
1386,bu,伸
1408,od,悩
1499,ct,濃
1521, M,叶
1605,Sk,促
1625,sh,就
1630,ba,軟
1647,r.,写
1655,nc,倉
1724,l:,蘇
1727,d.,院
1793,y.,耗
1129, I,廃
1139,ec,昆
1146,ov,党
1226,ur,阻
1317,m ,慢
1332,am,偉
1348,fa,玉
1420,rt,湖
1440,fe,骸
1449,sa,甲
1537,gr,諸
1615,da,茶
1194,ke,演
1241,wo,犠
1257,No,牽
1313, n,台
1485, S,徹
1566,ef,停
1586,tl,局
1606,io,繁
1687,bo,複
1739,St,農
1100,Th,賊
1155,ru,誓
1214,ia,抱
1219,fi,語
1346,um,恕
1383,ee,煙
1424,ul,朝
1439,lr,卵
1443, H,裕
1451,n.,易
1461,Me,慌
1553,"e,",試
1600,op,努
1659,Mo,換
1128,mi,恨
1143,Go,索
1249,Fo,散
1306,wa,刺
1467,va,床
1489,pi,建
1532,ui,焼
1570,ua,勧
1642,na,商
1696,Fe,維
1202,Hi,閉
