jp,guide_en,text,note
シグマ / ∑066,Sigma / Σ-066,Sigma,"main hero, lab designation Sigma-066"
ラムダ / Λ052,Lambda,Lambda,
オメガ / Ω137,Omega,Omega,
ブレンダ,Brenda,Brenda,
クラレット,Clarett,Clarett,
アルフレッド,Alfred,Alfred,
ランフォード,Lanford,Lanford,Marshal; guide uses Lanford (NOT Lainforce)
レインフォルス,Lainforce,Lainforce,separate character
マクレーン,McClaine,McClaine,
アルヴィンス,Alvince,Alvince,
アイゼル,Aizer,Aizel,alt: Aizer
ランディウス,Landius,Landius,Grand Duke; alias of Lambert
ランベルト,Lambert,Lambert,
エミリー,Emily,Emily,general / adjutant
ギザロフ,Gizarov,Gizarof,"guide: Gizarov; L4 fan canon: Gizarof — USED IN QUIZ, confirm"
ジェシカ,Jessica,Jessica,L3 canon match
ローゼンシル,Rosenshill,Rozenciel,
ヴィラージュ,Virash,Virash,
ウィラー,Wheeler,Wiler,admiral
セレナ,Selena,Selena,
ボーゼル,Bozel,Böser,series canon; ASCII fallback: Boser; guide: Bozel
グロブ,Glob,Grove,character; title Necromancer by context
エリック,Eric,Eric,
フェラキア,Ferakia,Ferakia,'shapeshifting' Ferakia
ガイエル,Gaiel,Gaiel,demon general
ゴルドリー,Goldry,Goldry,
ゼロ,Zero,Zero,strategist
レナード,Lenard,Lenard,duke
ギルモア,Gilmore,Gilmore,new emperor
クェイド,Creid,Quaid,marquis; alt: Creid/Quade
マスターソン,Mastason,Masterson,butler; guide spells Mastason
マリアンデール,Mariandel,Mariandel,
ラッセル,Russel,Russel,chancellor; guide single-l
ロックウェル,Rockwell,Rockwell,
ガイアナ,Gaiana,Gaiana,supervisor
アンジェリナ,Angelina,Angelina,
シェルファニール,Shelfaniel,Shelfaniel,
ルシリス,Lushiris,Lushiris,L3 canon
アルハザード,Alhazard,Alhazard,L3 canon
ラングリッサー,Langrisser,Langrisser,
カルザス,Kalxath,Kalxath,kingdom
サルラス,Salrath,Salrath,duchy
カコンシス,Caconsis,Caconsis,kingdom
クリムゾ,Crimso,Crimzo,red moon / homeland
レーゲンブルク,Regenburg,Regenburg,imperial capital?
ヴェルゼリア,Velzeria,Velzeria,dark land (series)
リベラリスタ,Liberalist,Liberalist,rebel group; guide: Liberalist(s)
クフィール,?,Kfir,mercenary band? verify in script
Cナイツ,Crimson Knights,Crimzonian Knights,short UI may use C.Knights if budget requires
バラン,?,Baran,
サムソン,?,Samson,
アドン,?,Adon,
ガルツォーク,?,Galshok,Fandom scenario list; project decision
