index_dec,char,replaced_char
1122,!,旧
1188,%,検
1192,",",芳
1207,.,搭
1211,/,誕
1230,;,歪
1239,?,控
1240,a,鑑
1258,e,伴
1274,g,銅
1280,i,羊
1281,n,牛
1282,r,蟹
1284,s,秤
1292,«,聡
1295,»,虎
1296,Ё,鷹
1362,А,僻
1374,Б,喋
1390,В,猾
1442,Г,尋
1454,Д,梨
1463,Е,碑
1477,Ж,蝶
1506,З,蓮
1556,И,堂
1561,Й,褒
1574,К,曇
1583,Л,澄
1591,М,喪
1592,Н,曖
1595,О,劫
1603,П,科
1610,Р,傲
1613,С,迅
1618,Т,貿
1619,У,顧
1621,Ф,貝
1636,Х,裸
1640,Ц,毛
1645,Ч,灌
1648,Ш,渉
1650,Щ,奉
1654,Ъ,嬢
1660,Ы,鐘
1663,Ь,筑
1668,Э,雹
1670,Ю,踊
1672,Я,戴
1678,а,汗
1686,б,誌
1690,в,畜
1694,г,乞
1695,д,肢
1704,е,峠
1708,ж,訣
1711,з,齢
1714,и,暖
1718,й,謹
1720,к,挨
1726,л,校
1730,м,蹴
1734,н,叙
1742,о,旗
1743,п,翻
1745,р,机
1746,с,呆
1750,т,扮
1755,у,洪
1756,ф,孫
1759,х,腰
1761,ц,察
1763,ч,巡
1764,ш,慎
1765,щ,塩
1768,ъ,欺
1770,ы,州
1771,ь,璧
1773,э,壮
1774,ю,宇
1777,я,逐
1778,ё,随
1779,—,掴
1780,…,菜
1781,ОК,穏
1784,нб,則
1785,！？,劇
1786,？！,馴
1787, -,惰
1789,ст,瞳
1790,ни,遇
1797, п,是
1798,ен,濁
1801,ра,簒
1803,но,惨
1807,й ,依
1808, с,洒
1809,ет,輩
1810,. ,捉
1812,на,泳
1813,ко,詩
1815,ро,益
1816, о,鬼
1817,ов,戮
1819,ер,膳
1820,т ,唯
1097,ль,忍
1150,и ,肖
1174, в,摘
1180,е ,諾
1208,ос,載
1216,ел,峙
1234,ан,瀕
1273,а ,液
1352,ны,泣
1356, н,丁
1366,о ,孤
1376,ит,錠
1469,", ",焦
1481,пр,衰
1503,та,遜
1517,ат,勉
1525,ла,貰
1528, д,騙
1534, к,祈
1538,я ,憩
1550,по,盛
1568,от,隔
1573,те,詫
1576,ол,弁
1580,ть,趣
1588,ор,芽
1601,ли,励
1611,да,添
1614,он,績
1633,ин,節
1638, и,拳
1658,ик,採
1664, м,奏
1666,ый,飽
1674,ал,丘
1676,ти,温
1688,ре,酒
1700,ар,論
1715,во,絵
1722,ри,拾
1728,не,賛
1735,то,翌
1738,ле,蜂
1741,ой,釈
1748,ь ,削
1754,ак,堤
1791,ма,莱
1796,тр,頻
1806,нн,飯
1110,в ,偶
1120,ие,挙
1123,ме,舞
1124,ил,老
1195,од,請
1251,иц,免
1326,ва,致
1330,го,眺
1347, б,柵
1360,ка,評
1364,ас,寂
1433,ае,律
1457,аг,染
1497,це,崇
1509,бо,償
1529,вы,誉
1549,де,丸
1598,ом,紛
1643,ес,掃
1679,ив,汁
1705,: ,迫
1706,ав,忙
1716,об,糸
1723,ог,膨
1736,ки,昼
1753,щи,縛
1757,ве,胞
1766,На,枯
1767,до,渇
1775,ло,綺
1099,из,盗
1138,за,壇
1203,си,征
1231,со,占
1246,ги,疎
1247,ед,戒
1275,ви,磨
1298,ем,醒
1307,же,紹
1308,ск,介
1349,фи,微
1358,ок,樽
1365, 1,妙
1386,пе,伸
1408,мн,悩
1499,ам,濃
1521,ля,叶
1605,оф,促
1625,сл,就
1630,ей,軟
1647, з,写
1655,ьн,倉
1724,ий,蘇
1727,ад,院
1793,м ,耗
1129,ру,廃
1139,к ,昆
1146,оп,党
1226, у,阻
1317,ис,慢
1332,че,偉
1348,аж,玉
1420,мо,湖
1440,ца,骸
1449,ая,甲
1537,р ,諸
1615,ми,茶
1194,яд,演
1241, т,犠
1257,н ,牽
1313, л,台
1485,бе,徹
1566,ще,停
1586,хо,局
1606,ря,繁
1687,и.,複
1739,Ма,農
1100,ия,賊
1155,Со,誓
1214,ык,抱
1219,ди,語
1346,ое,恕
1383,а.,煙
1424,аё,朝
1439,ём,卵
1443,бл,裕
1451,аз,易
1461, а,慌
1553,х ,試
1600,ир,努
1659,кл,換
1128, р,恨
1143,ев,索
1249,им,散
1306,ят,刺
1467,ры,床
1489,с ,建
