index_dec,char,replaced_char
1122,",",旧
1188,.,検
1192,Ё,芳
1207,А,搭
1211,Б,誕
1230,В,歪
1239,Г,控
1240,Д,鑑
1258,Е,伴
1362,Ж,僻
1374,З,喋
1390,И,猾
1442,Й,尋
1454,К,梨
1463,Л,碑
1477,М,蝶
1506,Н,蓮
1556,О,堂
1561,П,褒
1574,Р,曇
1583,С,澄
1591,Т,喪
1592,У,曖
1595,Ф,劫
1603,Х,科
1610,Ц,傲
1613,Ч,迅
1618,Ш,貿
1619,Щ,顧
1621,Ъ,貝
1636,Ы,裸
1640,Ь,毛
1645,Э,灌
1648,Ю,渉
1650,Я,奉
1654,а,嬢
1660,б,鐘
1663,в,筑
1668,г,雹
1670,д,踊
1672,е,戴
1678,ж,汗
1686,з,誌
1690,и,畜
1694,й,乞
1695,к,肢
1704,л,峠
1708,м,訣
1711,н,齢
1714,о,暖
1718,п,謹
1720,р,挨
1726,с,校
1730,т,蹴
1734,у,叙
1742,ф,旗
1743,х,翻
1745,ц,机
1746,ч,呆
1750,ш,扮
1755,щ,洪
1756,ъ,孫
1759,ы,腰
1761,ь,察
1763,э,巡
1764,ю,慎
1765,я,塩
1768,ё,欺
1770,…,州
1771,ть,璧
1773,Го,壮
1774,но,宇
1777,На,逐
1778,то,随
1779,Ск,掴
1780,ор,菜
1781,ос,穏
1784,ен,則
1785,ст,劇
1786,ро,馴
1787,за,惰
1789,во,瞳
1790,те,遇
1797,кс,是
1798,та,濁
1801,иг,簒
1803,ры,惨
1807,Сц,依
1808,бо,洒
1809,ло,輩
1810,са,捉
1812,Му,泳
1813,зы,詩
1815,ка,益
1816,Ме,鬼
1817,дл,戮
1819,Об,膳
1820,ыч,唯
1097,Бы,忍
1150,Вк,肖
1174,Вы,摘
1180,кл,諾
1208,Ре,載
1216,ал,峙
1234,Ст,瀕
1352,ер,泣
1356,ео,丁
1366,Мо,孤
1376,Ин,錠
1469,фо,焦
1481,па,衰
1503,не,遜
1517,ль,勉
1525,ча,貰
1528,йк,騙
1534,Да,祈
1538,ле,憩
1550,Вс,盛
1568,ве,隔
1573,рн,詫
1576,Кл,弁
1580,ас,趣
1588,сы,芽
1601,Ва,励
1611,ше,添
1614,им,績
1633,Им,節
1638,ня,拳
1658,！？,採
1664,？！,奏
1666,е ,飽
1674, п,丘
1676,а ,温
1688, в,酒
1700, с,論
1715,ь ,絵
1722, з,拾
1728, д,賛
1735,о ,翌
1738,й ,蜂
1741, к,釈
1748,. ,削
1754,т ,堤
1791, о,莱
1796,я ,頻
1806,и ,飯
1110, и,偶
1120, р,挙
1123, н,舞
1124,ю ,老
1195, б,請
1251,у ,免
1326,м ,致
1330, м,眺
1347, т,柵
1360,", ",評
1364, л,寂
1433,в ,律
1457,ы ,染
1497, ч,崇
1509, а,償
1529,н ,誉
1549,х ,丸
1598, е,紛
1643,к ,掃
1679,я:,汁
1705,а:,迫
1706,ь:,忙
1716,р:,糸
1723,с ,膨
1736, ш,昼
1753,з ,縛
1757,д ,胞
1766, П,枯
1767, х,渇
1775, О,綺
1099, Н,盗
1138, у,壇
1203,ц ,征
1231, С,占
1246,ё ,疎
1247, И,戒
1349,: ,微
1358, В,樽
1365, ц,妙
1386, Х,伸
1408,р ,悩
1499,В ,濃
1521,К ,叶
1605, К,促
1625, З,就
1630,й:,軟
1647, Г,写
1655, Я,倉
1724, Ж,蘇
1727,О:,院
1793, ф,耗
1129, г,廃
1139, ж,昆
1146, э,党
1226,п ,阻
1317, Р,慢
1332, Д,偉
1348, Е,玉
1420,ра,湖
1440,по,骸
1449,на,甲
1537,ат,諸
1615,ни,茶
1194,ри,演
1241,да,犠
1257,бе,牽
1313,ит,台
1485,ко,徹
1566,ов,停
1586,ия,局
1606,ма,繁
1687,де,複
1739,ет,農
1100,тр,賊
1155,ди,誓
1214,пр,抱
1219,нд,語
1346,тв,恕
1383,ла,煙
1424,ом,朝
1439,йс,卵
1443,ду,裕
1451,вл,易
1461,ва,慌
1553,об,試
1600,ог,努
1659,ан,換
1128,Си,恨
1143,го,索
1249,мо,散
1467,зн,床
1489,он,建
1532,Ве,焼
1570,ак,勧
1642,ем,商
1696,ин,維
1202,от,閉
1224,щи,諦
1372,ме,寝
1565,ед,室
1334,ре,冒
1699,а.,妹
1171,жн,独
